ac_number,constituency,winner_candidate,winner_party,winner_votes,turnout,reserved,region,runnerup_candidate,runnerup_party,runnerup_votes,margin,total_votes,winner_vote_share
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,94320,,GEN,Chennai Metro,SUDHAKAR.V,AIADMK,66375,27945,232522,40.563903630624196
2,Ponneri,DR.RAVI.M.S,TVK,110439,,SC,Chennai Metro,DURAI CHANDRASEKAR,INC,54671,55768,226819,48.690365445575544
3,Tiruttani,G.HARI,AIADMK,89169,,GEN,Chennai Metro,M.SATHYA KUMAR,TVK,83376,5793,238798,37.34076499803181
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,92190,,GEN,Chennai Metro,V.G. RAAJENDRAN,DMK,67430,24760,226428,40.71492924903281
5,Poonamallee,PRAKASAM.R,TVK,161309,,SC,Chennai Metro,KRISHNASWAMY.A,DMK,88569,72740,308894,52.22147403316348
6,Avadi,R.RAMESH KUMAR,TVK,180384,,GEN,Chennai Metro,S.M.NASAR,DMK,104073,76311,346005,52.1333506741232
7,Maduravoyal,RHEVANTH CHARAN,TVK,141725,,GEN,Chennai Metro,GANAPATHY. K,DMK,80216,61509,293692,48.25633657028451
8,Ambattur,BALAMURUGAN.G,TVK,133339,,GEN,Chennai Metro,DR A.P. POORNIMA,DMK,74558,58781,259986,51.286992376512586
9,Madavaram,M.L.VIJAYPRABHU,TVK,190462,,GEN,Chennai Metro,S.SUDHARSANAM,DMK,95477,94985,361998,52.614102840347186
10,Thiruvottiyur,SENTHIL KUMAR. N,TVK,110067,,GEN,Chennai Metro,SUNDARARAJ. L,CPI(M),56503,53564,207088,53.149868654871355
11,Dr.Radhakrishnan Nagar,N. MARIE WILSON,TVK,97800,,GEN,Chennai Metro,J. JOHN EBENEZER,DMK,48132,49668,181206,53.971722790636065
12,Perambur,C. JOSEPH VIJAY,TVK,120365,,GEN,Chennai Metro,R.D. SHEKAR,DMK,66650,53715,204384,58.891596211053695
13,Kolathur,V. S. BABU,TVK,82997,,GEN,Chennai Metro,M. K. STALIN,DMK,74202,8795,184051,45.09456618002619
